journal_id,journal_index_date,code_group,amount_journal,kartu_piutang_id,amount_kartu_piutang,kartu_piutang_index_date
103513,26010109430005,120001,13514.00,25677,13514.00,260101094300005
103517,26010109430006,120001,8108.00,25678,8108.00,260101094300006
103521,26010109430007,120001,2378.00,25679,2378.00,260101094300007
347232,26010109430009,120001,-915000.00,108172,-915000.00,260101094300009
359030,26010109430010,120001,-24000.00,114023,-24000.00,260101094300010
103525,26010109440001,120001,9009.00,25681,9009.00,260101094400001
103529,26010109440002,120001,2703.00,25682,2703.00,260101094400002
103533,26010109440003,120001,1288.00,25683,1288.00,260101094400003
359032,26010109440004,120001,-13000.00,114024,-13000.00,260101094400005
75152,26010109450001,120001,14414.00,15784,14414.00,260101094500001
75156,26010109450002,120001,2703.00,15785,2703.00,260101094500002
75160,26010109450003,120001,1883.00,15786,1883.00,260101094500003
353212,26010109450004,120001,-19000.00,111119,-19000.00,260101094500005
103537,26010109460001,120001,5405.00,25685,5405.00,260101094600001
103541,26010109460002,120001,595.00,25686,595.00,260101094600002
359034,26010109460003,120001,-6000.00,114025,-6000.00,260101094600004
75164,26010109480001,120001,5405.00,15788,5405.00,260101094800001
75168,26010109480002,120001,595.00,15789,595.00,260101094800002
353214,26010109480003,120001,-6000.00,111120,-6000.00,260101094800004
103545,26010109570001,120001,18919.00,25688,18919.00,260101095700001
103549,26010109570002,120001,2081.00,25689,2081.00,260101095700002
359036,26010109570003,120001,-21000.00,114026,-21000.00,260101095700004
42948,26010109590001,120001,15315.00,4680,15315.00,260101095900001
42952,26010109590002,120001,1685.00,4681,1685.00,260101095900002
75172,26010109590004,120001,4505.00,15791,4505.00,260101095900004
75176,26010109590005,120001,495.00,15792,495.00,260101095900005
347234,26010109590007,120001,-17000.00,108173,-17000.00,260101095900007
353216,26010109590008,120001,-5000.00,111121,-5000.00,260101095900008
103553,26010110000001,120001,10811.00,25691,10811.00,260101100000001
103557,26010110000002,120001,1189.00,25692,1189.00,260101100000002
359038,26010110000003,120001,-12000.00,114027,-12000.00,260101100000004
75180,26010110030001,120001,4505.00,15794,4505.00,260101100300001
75184,26010110030002,120001,495.00,15795,495.00,260101100300002
103561,26010110030004,120001,2703.00,25694,2703.00,260101100300004
103565,26010110030005,120001,297.00,25695,297.00,260101100300005
353218,26010110030007,120001,-5000.00,111122,-5000.00,260101100300007
359040,26010110030008,120001,-3000.00,114028,-3000.00,260101100300008
75188,26010110080001,120001,3604.00,15797,3604.00,260101100800001
75192,26010110080002,120001,3604.00,15798,3604.00,260101100800002
75196,26010110080003,120001,792.00,15799,792.00,260101100800003
353220,26010110080004,120001,-8000.00,111123,-8000.00,260101100800005
864562,26010110080005,120001,97297.00,294718,97297.00,260101100800006
864566,26010110080006,120001,10703.00,294719,10703.00,260101100800007
864569,26010110080007,120001,-108000.00,294720,-108000.00,260101100800008
103569,26010110140001,120001,47297.00,25697,47297.00,260101101400001
103573,26010110140002,120001,5203.00,25698,5203.00,260101101400002
359042,26010110140003,120001,-52500.00,114029,-52500.00,260101101400004
103577,26010110190001,120001,11712.00,25700,11712.00,260101101900001
103581,26010110190002,120001,1288.00,25701,1288.00,260101101900002
359044,26010110190003,120001,-13000.00,114030,-13000.00,260101101900004
75200,26010110210001,120001,30631.00,15801,30631.00,260101102100001
75204,26010110210002,120001,3369.00,15802,3369.00,260101102100002
353222,26010110210003,120001,-34000.00,111124,-34000.00,260101102100004
42962,26010110230001,120001,4955.00,4685,4955.00,260101102300001
42966,26010110230002,120001,545.00,4686,545.00,260101102300002
347238,26010110230003,120001,-5500.00,108175,-5500.00,260101102300004
75208,26010110250001,120001,1802.00,15804,1802.00,260101102500001
75212,26010110250002,120001,198.00,15805,198.00,260101102500002
103585,26010110250004,120001,7658.00,25703,7658.00,260101102500004
103589,26010110250005,120001,842.00,25704,842.00,260101102500005
353224,26010110250007,120001,-2000.00,111125,-2000.00,260101102500007
359046,26010110250008,120001,-8500.00,114031,-8500.00,260101102500008
42970,26010110320001,120001,27027.00,4688,27027.00,260101103200001
42974,26010110320002,120001,2973.00,4689,2973.00,260101103200002
347240,26010110320003,120001,-30000.00,108176,-30000.00,260101103200004
